A,B,C
1,-1.0,1
2,-2.0,4
3,-3.0,9
4,-4.0,16
5,-5.0,25
6,-6.0,36
7,-7.0,49
8,-8.0,64
9,-9.0,81
10,-10.0,100
11,-11.0,121
12,-12.0,144
13,-13.0,169
14,-14.0,196
15,-15.0,225
16,-16.0,256
17,-17.0,289
18,-18.0,324
19,-19.0,361
20,-20.0,400
21,-21.0,441
22,-22.0,484
23,-23.0,529
24,-24.0,576
25,-25.0,625
26,-26.0,676
27,-27.0,729
28,-28.0,784
29,-29.0,841
30,-30.0,900
31,-31.0,961
32,-32.0,1024
33,-33.0,1089
34,-34.0,1156
35,-35.0,1225
36,-36.0,1296
37,-37.0,1369
38,-38.0,1444
39,-39.0,1521
40,-40.0,1600
41,-41.0,1681
42,-42.0,1764
43,-43.0,1849
44,-44.0,1936
45,-45.0,2025
46,-46.0,2116
47,-47.0,2209
48,-48.0,2304
49,-49.0,2401
50,-50.0,2500
