;; Language list.
;; Copyright 2021 Wikipedia Contributors.
;; Text is available under the Creative Commons Attribution-ShareAlike 3.0 License (CC BY-SA 3.0);
;; Last retrieved and revised on 2021-09-04.
;; https://en.wikipedia.org/w/index.php?title=List_of_ISO_639-1_codes&oldid=1039913497
;; Top 10 by added text (approximate)
;; 125.84.181.103 · 150,095 (51.2%)
;; Akeosnhaoe · 70,151 (23.9%)
;; Ve4ernik · 39,563 (13.5%)
;; Sl · 12,679 (4.3%)
;; Buhay Tao · 5,129 (1.8%)
;; Zyxw · 3,461 (1.2%)
;; SiBr4 · 3,349 (1.1%)
;; Phi1ip · 2,961 (1%)
;; Tobias Conradi · 2,805 (1%)
;; KirarinSnow · 2,801 (1%)
Language family	ISO language name	Native name	639-1	639-2/T	639-2/B	639-3	Notes
Afro-Asiatic	Afar	Afaraf	aa	aar	aar	aar	
Northwest Caucasian	Abkhazian	аҧсуа бызшәа, аҧсшәа	ab	abk	abk	abk	also known as Abkhaz 
Indo-European	Avestan	avesta	ae	ave	ave	ave	ancient 
Indo-European	Afrikaans	Afrikaans	af	afr	afr	afr	
Niger–Congo	Akan	Akan	ak	aka	aka	aka + 2	macrolanguage, Twi is tw/twi, Fanti is fat 
Afro-Asiatic	Amharic	አማርኛ	am	amh	amh	amh	
Indo-European	Aragonese	aragonés	an	arg	arg	arg	
Afro-Asiatic	Arabic	العربية	ar	ara	ara	ara + 29	macrolanguage, Standard Arabic is arb 
Indo-European	Assamese	অসমীয়া	as	asm	asm	asm	
Northeast Caucasian	Avaric	авар мацӀ, магӀарул мацӀ	av	ava	ava	ava	also known as Avar 
Aymaran	Aymara	aymar aru	ay	aym	aym	aym + 2	macrolanguage 
Turkic	Azerbaijani	azərbaycan dili, تۆرکجه	az	aze	aze	aze + 2	"macrolanguage also known as Azeri "
Turkic	Bashkir	башҡорт теле	ba	bak	bak	bak	
Indo-European	Belarusian	беларуская мова	be	bel	bel	bel	
Indo-European	Bulgarian	български език	bg	bul	bul	bul	
Creole	Bislama	Bislama	bi	bis	bis	bis	Language formed from English and Ni-Vanuatu, with some French influence. 
Niger–Congo	Bambara	bamanankan	bm	bam	bam	bam	
Indo-European	Bengali	বাংলা	bn	ben	ben	ben	also known as Bangla 
Indo-European	Bihari languages	भोजपुरी	bh	bih	bih		collective language code for Bhojpuri, Magahi, and Maithili
Sino-Tibetan	Tibetan	བོད་ཡིག	bo	bod	tib	bod	also known as Standard Tibetan 
Indo-European	Breton	brezhoneg	br	bre	bre	bre	
Indo-European	Bosnian	bosanski jezik	bs	bos	bos	bos	
Indo-European	Catalan, Valencian	català, valencià	ca	cat	cat	cat	
Northeast Caucasian	Chechen	нохчийн мотт	ce	che	che	che	
Austronesian	Chamorro	Chamoru	ch	cha	cha	cha	
Indo-European	Corsican	corsu, lingua corsa	co	cos	cos	cos	
Algonquian	Cree	ᓀᐦᐃᔭᐍᐏᐣ	cr	cre	cre	cre + 6	macrolanguage 
Indo-European	Czech	čeština, český jazyk	cs	ces	cze	ces	
Indo-European	Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic	ѩзыкъ словѣньскъ	cu	chu	chu	chu	ancient, in use by Orthodox Church 
Turkic	Chuvash	чӑваш чӗлхи	cv	chv	chv	chv	
Indo-European	Welsh	Cymraeg	cy	cym	wel	cym	
Indo-European	Danish	dansk	da	dan	dan	dan	
Indo-European	German	Deutsch	de	deu	ger	deu	
Indo-European	Divehi, Dhivehi, Maldivian	ދިވެހި	dv	div	div	div	
Sino-Tibetan	Dzongkha	རྫོང་ཁ	dz	dzo	dzo	dzo	
Niger–Congo	Ewe	Eʋegbe	ee	ewe	ewe	ewe	
Indo-European	Greek, Modern (1453–)	ελληνικά	el	ell	gre	ell	For ancient Greek, use the ISO 639-3 code grc 
Indo-European	English	English	en	eng	eng	eng	
Constructed	Esperanto	Esperanto	eo	epo	epo	epo	constructed, initiated from L.L. Zamenhof, 1887 
Indo-European	Spanish, Castilian	Español	es	spa	spa	spa	
Uralic	Estonian	eesti, eesti keel	et	est	est	est + 2	macrolanguage 
Language isolate	Basque	euskara, euskera	eu	eus	baq	eus	
Indo-European	Persian	فارسی	fa	fas	per	fas + 2	macrolanguage, also known as Farsi 
Niger–Congo	Fulah	Fulfulde, Pulaar, Pular	ff	ful	ful	ful + 9	macrolanguage, also known as Fula 
Uralic	Finnish	suomi, suomen kieli	fi	fin	fin	fin	
Austronesian	Fijian	vosa Vakaviti	fj	fij	fij	fij	
Indo-European	Faroese	føroyskt	fo	fao	fao	fao	
Indo-European	French	français	fr	fra	fre	fra	
Indo-European	Western Frisian	Frysk	fy	fry	fry	fry	also known as Frisian 
Indo-European	Irish	Gaeilge	ga	gle	gle	gle	
Indo-European	Gaelic, Scottish Gaelic	Gàidhlig	gd	gla	gla	gla	
Indo-European	Galician	Galego	gl	glg	glg	glg	
Tupian	Guarani	Avañe'ẽ	gn	grn	grn	grn + 5	macrolanguage 
Indo-European	Gujarati	ગુજરાતી	gu	guj	guj	guj	
Indo-European	Manx	Gaelg, Gailck	gv	glv	glv	glv	
Afro-Asiatic	Hausa	(Hausa) هَوُسَ	ha	hau	hau	hau	
Afro-Asiatic	Hebrew	עברית	he	heb	heb	heb	Modern Hebrew. Code changed in 1989 from original ISO 639:1988, iw.[1] 
Indo-European	Hindi	हिन्दी, हिंदी	hi	hin	hin	hin	
Austronesian	Hiri Motu	Hiri Motu	ho	hmo	hmo	hmo	
Indo-European	Croatian	hrvatski jezik	hr	hrv	hrv	hrv	
Creole	Haitian, Haitian Creole	Kreyòl ayisyen	ht	hat	hat	hat	
Uralic	Hungarian	magyar	hu	hun	hun	hun	
Indo-European	Armenian	Հայերեն	hy	hye	arm	hye	also known as Հայերէն; ISO 639-3 code hye is for Eastern Armenian, hyw is for Western Armenian, and xcl is for Classical Armenian 
Niger–Congo	Herero	Otjiherero	hz	her	her	her	
Constructed	Interlingua	Interlingua	ia	ina	ina	ina	constructed by International Auxiliary Language Association
Austronesian	Indonesian	Bahasa Indonesia	id	ind	ind	ind	Covered by macrolanguage ms/msa. Changed in 1989 from original ISO 639:1988, in.[1] 
Constructed	Interlingue	Occidental / Interlingue	ie	ile	ile	ile	constructed by Edgar de Wahl, first published in 1922
